Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
Herbal Flame,Http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason Jar,Hot Damn,,,,,,,Tea,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.","Herbal Flame: A fiery and invigorating shot that combines herbal liqueur and high-proof spirits, often ignited before consuming, resulting in a warm and intense experience.",ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Highland Fling Cocktail,Http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail Glass,Scotch,,,,,,,Sweet Vermouth,Orange Bitters,Olive,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,"Highland Fling Cocktail: A Scotch whisky-based cocktail that combines whisky, Drambuie, lemon juice, and a touch of sweetness, creating a robust and slightly smoky drink with a hint of citrus.",ml,45,ml,22.5,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Holloween Punch,Http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch Bowl,Grape Juice,,,,,,,Carbonated Soft Drink,Sherbet,Sherbet,,,,,,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","Halloween Punch: A spooktacular and festive punch made with a blend of fruit juices, soda, and your choice of spirits, garnished with creepy Halloween decorations for a fun and boozy treat.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Homemade Kahlua,Http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,Sugar,,,,,,,Corn Syrup,Coffee,Vanilla Extract,Water,Vodka,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.","Homemade Kahlua: A DIY version of the popular coffee liqueur made by infusing vodka with coffee, sugar, and vanilla, resulting in a rich and aromatic homemade Kahlua perfect for cocktails or sipping on its own.",ml,600,ml,240,ml,45,ml,60,ml,720,ml,200,, ,, ,, ,, ,, ,, ,, ,, ,, 
Horse's Neck,Http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball Glass,Lemon Peel,,,,,,,Brandy,Ginger Ale,Bitters,,,,,,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","Horse's Neck: A classic and elegant cocktail that combines bourbon or brandy with ginger ale, garnished with a long spiral of lemon peel, offering a refreshing and slightly spicy drink with a citrusy twist.",long strip , 1,ml,60,ml,150,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Hot Chocolate To Die For,Http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee Mug,Chocolate,,,,,,,Butter,Vanilla Extract,Half-and-half,Marshmallows,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.","Hot Chocolate to Die for: A decadent and comforting hot beverage that combines rich hot chocolate, your choice of spirits like vodka or peppermint schnapps, and is topped with whipped cream and chocolate shavings for a luxurious treat.",ml,360,ml,5,ml,2.5,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Hot Creamy Bush,Http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish Coffee Cup,Irish Whiskey,,,,,,,Bailey's Irish Cream,Coffee,,,,,,,Combine all ingredients in glass,"Hot Creamy Bush: A creamy and indulgent hot cocktail that combines Irish cream liqueur, hot coffee, and a splash of peppermint schnapps, offering a comforting and minty drink perfect for winter evenings.",ml,30,ml,22.5,ml,180,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Ice Pick #1,Http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,Vodka,,,,,,,Iced Tea,Lemon Juice,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,"Ice Pick #1: A simple and refreshing cocktail that combines vodka and iced tea, offering a crisp and light drink with a balance of flavors between the vodka and the tea.",ml,45,ml,180,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Iced Coffee,Http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee Mug,Coffee,,,,,,,Sugar,Water,Milk,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,"Iced Coffee: A refreshing and energizing beverage made by chilling brewed coffee and serving it over ice, often enjoyed with a touch of milk, cream, or flavored syrups for added richness and sweetness.",ml,60,ml,60,ml,60,ml,960,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Iced Coffee Fillip,Http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee Mug,Kahlua,,,,,,,Coffee,,,,,,,,Mix together in a coffee mug and chill before serving.,"Iced Coffee Fillip: A delightful twist on traditional iced coffee, incorporating the addition of your choice of spirits such as rum, vodka, or Irish cream liqueur, creating a boozy and invigorating drink perfect for warm days.",ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Imperial Cocktail,Http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail Glass,Lime Juice,,,,,,,Gin,Aperol,,,,,,,Shake with ice and strain into cocktail glass.,"Imperial Cocktail: A regal and sophisticated cocktail that blends gin, sweet vermouth, and maraschino liqueur, offering a balanced and aromatic sip with a hint of cherry.",ml,40,ml,20,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Imperial Fizz,Http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball Glass,Light Rum,,,,,,,Blended Whiskey,Lemon,Powdered Sugar,Carbonated Water,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Imperial Fizz: A sparkling and citrusy cocktail that combines gin, lemon juice, sugar, and club soda, resulting in a refreshing and effervescent drink with a tangy twist.",ml,15,ml,45,, ,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Ipamena,Http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,Lime,,,,,,,Brown Sugar,Passion Fruit Juice,Ginger Ale,Ice,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Ipamena: A Brazilian mocktail that blends lime juice, ginger ale, and a touch of grenadine, offering a vibrant and non-alcoholic drink with a sweet and tangy flavor profile.",, ,ml,10,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Irish Coffee,Http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish Coffee Cup,Irish Whiskey,,,,,,,Coffee,Sugar,Whipped Cream,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","Irish Coffee: A classic and comforting cocktail that combines Irish whiskey, hot coffee, brown sugar, and topped with whipped cream, creating a warm and indulgent drink perfect for chilly evenings.",ml,45,ml,240,ml,5,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Irish Cream,Http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish Coffee Cup,Scotch,,,,,,,Half-and-half,Condensed Milk,Coconut Syrup,Chocolate Syrup,,,,,Mix scotch and milk. Add half-and-half. Add rest.,"Irish Cream: A creamy and smooth liqueur made with a blend of Irish whiskey, cream, and sweet flavors like cocoa and vanilla, offering a rich and indulgent sip often enjoyed on its own or in various cocktails.",ml,240,ml,300,ml,330,ml,3,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Irish Curdling Cow,Http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball Glass,Bailey's Irish Cream,,,,,,,Bourbon,Vodka,Orange Juice,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","Irish Curdling Cow: A quirky and fun cocktail that blends Irish cream liqueur, orange juice, and lemon-lime soda, resulting in a creamy and tangy drink with a playful twist.",ml,22.5,ml,22.5,ml,22.5,ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Irish Russian,Http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball Glass,Vodka,,,,,,,Kahlua,Coca-cola,Guinness Stout,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,"Irish Russian: A twist on the classic White Russian cocktail, substituting vodka with Irish whiskey, and combining it with coffee liqueur and cream, offering a smooth and flavorful drink with a hint of coffee.",ml,30,ml,30,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Irish Spring,Http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins Glass,Irish Whiskey,,,,,,,Peach Brandy,Orange Juice,Sweet And Sour,Orange,Cherry,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.","Irish Spring: A refreshing and herbal cocktail that combines Irish whiskey, lime juice, simple syrup, and a few sprigs of fresh mint, creating a vibrant and invigorating drink with a citrusy and minty kick.",ml,30,ml,15,ml,30,ml,30,slice , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jack Rose Cocktail,Http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail Glass,Apple Brandy,,,,,,,Grenadine,Lime,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Jack Rose Cocktail: A timeless and apple-forward cocktail that blends apple brandy or applejack, grenadine, and lemon juice, resulting in a tart and fruity drink with a hint of sweetness.",ml,45,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jack's Vanilla Coke,Http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned Glass,Ice,,,,,,,Tennessee Whiskey,Vanilla Extract,Coca-cola,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.","Jack's Vanilla Coke: A sweet and creamy cocktail that combines vanilla vodka and cola, offering a smooth and indulgent drink reminiscent of a classic vanilla-flavored soda.",, ,ml,60,ml,5,ml,360,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jackhammer,Http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,Jack Daniels,,,,,,,Amaretto,,,,,,,,"Serve over ice- Warning,Deadly!","Jackhammer: A bold and strong cocktail that combines equal parts Jack Daniel's Tennessee whiskey and amaretto liqueur, creating a potent and flavorful drink with a hint of almond sweetness.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jam Donut,Http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot Glass,Baileys Irish Cream,,,,,,,Chambord Raspberry Liqueur,Sugar Syrup,Sugar,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Jam Donut: A dessert-like cocktail that blends raspberry liqueur, vanilla vodka, and cream, offering a sweet and creamy drink with fruity and vanilla undertones reminiscent of a freshly baked jam-filled donut.",ml,20,ml,10,ml,5,ml,6,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jamaica Kiss,Http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane Glass,Coffee Liqueur,,,,,,,Light Rum,Ice,Milk,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,"Jamaica Kiss: A tropical and exotic cocktail that combines Jamaican rum, lime juice, pineapple juice, and grenadine, creating a vibrant and fruity drink with a hint of Caribbean flair.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jamaican Coffee,Http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne Flute,Rum,,,,,,,Coffee,Water,Whipped Cream,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","Jamaican Coffee: A rich and robust cocktail that combines Jamaican rum, coffee liqueur, hot coffee, and topped with whipped cream, offering a warm and indulgent drink with a delightful coffee flavor.",ml,50,glass strong black , 1/6,glass cold , 1/2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Japanese Fizz,Http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball Glass,Blended Whiskey,,,,,,,Lemon,Powdered Sugar,Port,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Japanese Fizz: A refreshing and citrusy cocktail that combines Japanese whiskey, lemon juice, simple syrup, and club soda, resulting in a bright and effervescent drink with a whiskey-forward profile.",ml,45,, ,ml,5,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jello Shots,Http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot Glass,Vodka,,,,,,,Jello,Water,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","Jello Shots: Fun and colorful shots made by combining flavored gelatin mix with your choice of spirits, resulting in a playful and jiggly treat that can be customized with various flavors and alcohol options.",ml,480,packages , 3,ml,720,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jelly Bean,Http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial Glass,Blackberry Brandy,,,,,,,Anis,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,"Jelly Bean: A sweet and fruity cocktail that blends fruity liqueurs like peach schnapps, melon liqueur, and cranberry juice, creating a vibrant and candy-like drink reminiscent of a bag of jelly beans.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jewel Of The Nile,Http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail Glass,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Jewel of the Nile: A tropical and dazzling cocktail that combines rum, blue curaçao, pineapple juice, and lime juice, offering a vibrant blue drink with a fruity and refreshing taste.",ml,45,ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Jitterbug,Http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,Gin,,,,,,,Vodka,Grenadine,Lime Juice,Sugar,Sugar Syrup,Soda Water,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Jitterbug: A lively and energetic cocktail that blends vodka, cherry liqueur, lemon juice, and grenadine, creating a vibrant and tangy drink with a touch of sweetness and a cherry twist.",ml,60,ml,30,ml,3,ml,30,ml,3,ml,3,, ,, ,, ,, ,, ,, ,, ,, ,, 
John Collins,Http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins Glass,Bourbon,,,,,,,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"John Collins: A classic and refreshing cocktail that combines gin, lemon juice, simple syrup, and club soda, garnished with a cherry and a slice of lemon, offering a crisp and citrusy drink with a delightful fizz.",ml,60,ml,30,ml,5,ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Just A Moonmint,Http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,Milk,,,,,,,Chocolate Syrup,Mint Syrup,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Just a Moonmint: A cool and refreshing cocktail that blends crème de menthe, white crème de cacao, and cream, resulting in a minty and creamy drink reminiscent of a moonlit evening.",ml,480,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kamikaze,Http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail Glass,Vodka,,,,,,,Triple Sec,Lime Juice,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","Kamikaze: A bold and intense cocktail that combines vodka, triple sec, and lime juice, offering a potent and citrus-forward drink with a tangy kick.",ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Karsk,Http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball Glass,Coffee,,,,,,,Grain Alcohol,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Karsk: A traditional Norwegian cocktail that combines hot black coffee and moonshine or strong grain alcohol, resulting in a strong and invigorating drink often enjoyed during cold winter months.",part, 1,part, 2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kentucky B And B,Http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy Snifter,Bourbon,,,,,,,Benedictine,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,"Kentucky B and B: A smooth and sophisticated cocktail that blends bourbon and Bénédictine liqueur, creating a rich and herbal drink with a touch of sweetness and a hint of spice.",ml,60,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kentucky Colonel,Http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail Glass,Bourbon,,,,,,,Benedictine,Lemon Peel,,,,,,,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,"Kentucky Colonel: A Southern-inspired cocktail that combines bourbon, mint leaves, simple syrup, and crushed ice, offering a refreshing and minty drink with a touch of sweetness, perfect for sipping on a porch.",ml,90,ml,15,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kill The Cold Smoothie,Http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball Glass,Ginger,,,,,,,Lemon,Water,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.,"Kill the Cold Smoothie: A fruity and vitamin-packed smoothie that combines various citrus fruits, strawberries, yogurt, and honey, creating a refreshing and immune-boosting drink that's perfect for combating a cold.",inch , 1,, ,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kioki Coffee,Http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee Mug,Kahlua,,,,,,,Brandy,Coffee,,,,,,,Stir. Add whipped cream to the top.,"Kioki Coffee: A cozy and indulgent coffee cocktail that combines Kahlua, brandy, and hot coffee, topped with whipped cream and grated nutmeg, offering a warm and flavorful drink with a hint of spice.",ml,30,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kir,Http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,Creme De Cassis,,,,,,,Champagne,,,,,,,,"Add the crème de cassis to the bottom of the glass, then top up with wine.","Kir: A classic French cocktail that combines dry white wine and crème de cassis, resulting in a light and elegant drink with a balance of fruity sweetness and a dry finish.",part, 1,part, 5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kir Royale,Http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,Creme De Cassis,,,,,,,Champagne,,,,,,,,"Pour Creme de cassis in glass, gently pour champagne on top","Kir Royale: A sophisticated and celebratory cocktail that combines Champagne or sparkling wine with crème de cassis, creating a bubbly and fruity drink with a touch of elegance.",part, 1,part, 5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kiss Me Quick,Http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball Glass,Cranberry Vodka,,,,,,,Apfelkorn,Schweppes Russchian,Apple Juice,Ice,,,,,mix in the glass,"Kiss Me Quick: A playful and flirtatious cocktail that blends peach schnapps, orange juice, and cranberry juice, offering a sweet and fruity drink with a vibrant pink hue.",ml,40,ml,20,ml,70,ml,80,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kiwi Lemon,Http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball Glass,Kiwi Liqueur,,,,,,,Bitter Lemon,Ice,,,,,,,Mix in highball glass. Stirr. Garnish with slice of kiwi.,"Kiwi Lemon: A refreshing and tangy cocktail that combines kiwi liqueur, lemon juice, and simple syrup, creating a bright and citrusy drink with a tropical twist.",part, 1,part, 2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kiwi Papaya Smoothie,Http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,Kiwi,,,,,,,Papaya,,,,,,,,Throw everything into a blender and liquify.,"Kiwi Papaya Smoothie: A tropical and creamy smoothie that blends kiwi, papaya, yogurt, and a touch of honey, resulting in a luscious and refreshing drink bursting with tropical flavors.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kool First Aid,Http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot Glass,151 Proof Rum,,,,,,,Kool-aid,,,,,,,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.","Kool First Aid: A zesty and invigorating cocktail that combines vodka, lemon juice, lime juice, and a splash of soda, offering a citrusy and effervescent drink that's like a refreshing first aid for the taste buds.",ml,60,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kool-aid Shot,Http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned Glass,Vodka,,,,,,,Amaretto,Sloe Gin,Triple Sec,Cranberry Juice,,,,,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,"Kool-Aid Shot: A playful and nostalgic shot made by combining your choice of flavored Kool-Aid mix with vodka or white rum, resulting in a colorful and fun shooter reminiscent of childhood summers.",ml,30,ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kool-aid Slammer,Http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot Glass,Kool-aid,,,,,,,Vodka,,,,,,,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.","Kool-Aid Slammer: A high-energy and fruity cocktail that blends vodka, Kool-Aid mix, and lemon-lime soda, offering a vibrant and fizzy drink with a burst of fruity flavors.",ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Kurant Tea,Http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne Flute,Absolut Kurant,,,,,,,Tea,Sugar,,,,,,,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!","Kurant Tea: A soothing and aromatic cocktail that combines black tea, black currant liqueur, lemon juice, and honey, creating a comforting and slightly tart drink with a delightful tea-infused twist.",ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lady Love Fizz,Http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Cocktail Glass,Gin,,,,,,,Light Cream,Powdered Sugar,Lemon,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.","Lady Love Fizz: A delicate and floral cocktail that combines gin, elderflower liqueur, lemon juice, simple syrup, and club soda, resulting in a light and effervescent drink with a hint of sweetness and a refreshing floral aroma.",ml,60,ml,10,ml,5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lassi - A South Indian Drink,Http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,Yoghurt,,,,,,,Water,Cumin Seed,Salt,Mint,,,,,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.","Lassi - A South Indian Drink: A traditional South Indian drink made with yogurt, water, sugar, and various flavorings like mango, rose, or cardamom, offering a creamy and cooling beverage with a tangy and aromatic twist.",ml,120,ml,300,ml,2.5,ml,1.25,ml,1.25,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lassi - Mango,Http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Highball Glass,Mango,,,,,,,Yoghurt,Sugar,Water,,,,,,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,"Lassi - Mango: A tropical and creamy lassi made with ripe mangoes, yogurt, milk, sugar, and a touch of cardamom, resulting in a smooth and fruity drink that's both refreshing and indulgent.",, ,ml,480,ml,120,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lassi - Sweet,Http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Highball Glass,Yoghurt,,,,,,,Water,Sugar,Salt,Lemon Juice,,,,,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,"Lassi - Sweet: A classic and sweet lassi made with yogurt, milk, sugar, and a pinch of cardamom, offering a creamy and smooth drink with a hint of spice and a refreshing touch.",ml,240,ml,480,ml,60,, ,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lassi Khara,Http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,Yoghurt,,,,,,,Water,Salt,Asafoetida,,,,,,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,"Lassi Khara: A savory and spiced lassi made with yogurt, water, salt, and spices like cumin or black pepper, creating a tangy and flavorful drink often enjoyed as a cooling accompaniment to spicy meals.",ml,240,ml,480,ml,5,ml,3,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
