Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Irish Coffee,Http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish Coffee Cup,Irish Whiskey,,,,,,,Coffee,Sugar,Whipped Cream,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",1 1/2 oz ,,,,,,,8 oz ,1 tsp ,1 tblsp ,,,,,,"Irish Coffee: A classic and comforting cocktail that combines Irish whiskey, hot coffee, brown sugar, and topped with whipped cream, creating a warm and indulgent drink perfect for chilly evenings."
Irish Cream,Http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish Coffee Cup,Scotch,,,,,,,Half-and-half,Condensed Milk,Coconut Syrup,Chocolate Syrup,,,,,Mix scotch and milk. Add half-and-half. Add rest.,1 cup ,,,,,,,1 1/4 cup ,1 can sweetened ,3 drops ,1 tblsp ,,,,,"Irish Cream: A creamy and smooth liqueur made with a blend of Irish whiskey, cream, and sweet flavors like cocoa and vanilla, offering a rich and indulgent sip often enjoyed on its own or in various cocktails."
Irish Curdling Cow,Http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball Glass,Bailey's Irish Cream,,,,,,,Bourbon,Vodka,Orange Juice,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,2-3 oz ,,,,,,"Irish Curdling Cow: A quirky and fun cocktail that blends Irish cream liqueur, orange juice, and lemon-lime soda, resulting in a creamy and tangy drink with a playful twist."
Irish Russian,Http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball Glass,Vodka,,,,,,,Kahlua,Coca-cola,Guinness Stout,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,1 shot ,,,,,,,1 shot ,1 dash ,Fill with ,,,,,,"Irish Russian: A twist on the classic White Russian cocktail, substituting vodka with Irish whiskey, and combining it with coffee liqueur and cream, offering a smooth and flavorful drink with a hint of coffee."
Irish Spring,Http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins Glass,Irish Whiskey,,,,,,,Peach Brandy,Orange Juice,Sweet And Sour,Orange,Cherry,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",1 oz ,,,,,,,1/2 oz ,1 oz ,1 oz ,1 slice ,1 ,,,,"Irish Spring: A refreshing and herbal cocktail that combines Irish whiskey, lime juice, simple syrup, and a few sprigs of fresh mint, creating a vibrant and invigorating drink with a citrusy and minty kick."
Jack Rose Cocktail,Http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail Glass,Apple Brandy,,,,,,,Grenadine,Lime,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 tsp ,Juice of 1/2 ,,,,,,,"Jack Rose Cocktail: A timeless and apple-forward cocktail that blends apple brandy or applejack, grenadine, and lemon juice, resulting in a tart and fruity drink with a hint of sweetness."
Jack's Vanilla Coke,Http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned Glass,Ice,,,,,,,Tennessee Whiskey,Vanilla Extract,Coca-cola,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",4-5 ,,,,,,,2 oz ,1 tsp ,10-12 oz ,,,,,,"Jack's Vanilla Coke: A sweet and creamy cocktail that combines vanilla vodka and cola, offering a smooth and indulgent drink reminiscent of a classic vanilla-flavored soda."
Jackhammer,Http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,Jack Daniels,,,,,,,Amaretto,,,,,,,,"Serve over ice- Warning,Deadly!",1 oz ,,,,,,,1 oz ,,,,,,,,"Jackhammer: A bold and strong cocktail that combines equal parts Jack Daniel's Tennessee whiskey and amaretto liqueur, creating a potent and flavorful drink with a hint of almond sweetness."
Jam Donut,Http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot Glass,Baileys Irish Cream,,,,,,,Chambord Raspberry Liqueur,Sugar Syrup,Sugar,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",2/3 oz,,,,,,,1/3 oz,1 tsp,2 pinches,,,,,,"Jam Donut: A dessert-like cocktail that blends raspberry liqueur, vanilla vodka, and cream, offering a sweet and creamy drink with fruity and vanilla undertones reminiscent of a freshly baked jam-filled donut."
Jamaica Kiss,Http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane Glass,Coffee Liqueur,,,,,,,Light Rum,Ice,Milk,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,1 shot ,,,,,,,1 shot Jamaican ," cubes
",,,,,,,"Jamaica Kiss: A tropical and exotic cocktail that combines Jamaican rum, lime juice, pineapple juice, and grenadine, creating a vibrant and fruity drink with a hint of Caribbean flair."
Jamaican Coffee,Http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne Flute,Rum,,,,,,,Coffee,Water,Whipped Cream,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",1/6 glass ,,,,,,,1/6 glass strong black ,1/2 glass cold ,,,,,,,"Jamaican Coffee: A rich and robust cocktail that combines Jamaican rum, coffee liqueur, hot coffee, and topped with whipped cream, offering a warm and indulgent drink with a delightful coffee flavor."
Japanese Fizz,Http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball Glass,Blended Whiskey,,,,,,,Lemon,Powdered Sugar,Port,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1 1/2 oz ,,,,,,,Juice of 1/2 ,1 tsp ,1 tblsp ,1 ,,,,,"Japanese Fizz: A refreshing and citrusy cocktail that combines Japanese whiskey, lemon juice, simple syrup, and club soda, resulting in a bright and effervescent drink with a whiskey-forward profile."
Jello Shots,Http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot Glass,Vodka,,,,,,,Jello,Water,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",2 cups ,,,,,,,3 packages ,3 cups ,,,,,,,"Jello Shots: Fun and colorful shots made by combining flavored gelatin mix with your choice of spirits, resulting in a playful and jiggly treat that can be customized with various flavors and alcohol options."
Jelly Bean,Http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial Glass,Blackberry Brandy,,,,,,,Anis,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,1 oz ,,,,,,,1 oz ,,,,,,,,"Jelly Bean: A sweet and fruity cocktail that blends fruity liqueurs like peach schnapps, melon liqueur, and cranberry juice, creating a vibrant and candy-like drink reminiscent of a bag of jelly beans."
Jewel Of The Nile,Http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail Glass,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,,,,,,,"Jewel of the Nile: A tropical and dazzling cocktail that combines rum, blue curaçao, pineapple juice, and lime juice, offering a vibrant blue drink with a fruity and refreshing taste."
Jitterbug,Http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,Gin,,,,,,,Vodka,Grenadine,Lime Juice,Sugar,Sugar Syrup,Soda Water,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",2 jiggers ,,,,,,,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with ,,,"Jitterbug: A lively and energetic cocktail that blends vodka, cherry liqueur, lemon juice, and grenadine, creating a vibrant and tangy drink with a touch of sweetness and a cherry twist."
John Collins,Http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins Glass,Bourbon,,,,,,,Lemon Juice,Sugar,Club Soda,Maraschino Cherry,Orange,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,2 oz ,,,,,,,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,"John Collins: A classic and refreshing cocktail that combines gin, lemon juice, simple syrup, and club soda, garnished with a cherry and a slice of lemon, offering a crisp and citrusy drink with a delightful fizz."
Just A Moonmint,Http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,Milk,,,,,,,Chocolate Syrup,Mint Syrup,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,,,,,,,,,"Just a Moonmint: A cool and refreshing cocktail that blends crème de menthe, white crème de cacao, and cream, resulting in a minty and creamy drink reminiscent of a moonlit evening."
Kamikaze,Http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail Glass,Vodka,,,,,,,Triple Sec,Lime Juice,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Kamikaze: A bold and intense cocktail that combines vodka, triple sec, and lime juice, offering a potent and citrus-forward drink with a tangy kick."
Karsk,Http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball Glass,Coffee,,,,,,,Grain Alcohol,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",1 part ,,,,,,,2 parts ,,,,,,,,"Karsk: A traditional Norwegian cocktail that combines hot black coffee and moonshine or strong grain alcohol, resulting in a strong and invigorating drink often enjoyed during cold winter months."
Kentucky B And B,Http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy Snifter,Bourbon,,,,,,,Benedictine,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,2 oz ,,,,,,,1/2 oz ,,,,,,,,"Kentucky B and B: A smooth and sophisticated cocktail that blends bourbon and Bénédictine liqueur, creating a rich and herbal drink with a touch of sweetness and a hint of spice."
Kentucky Colonel,Http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail Glass,Bourbon,,,,,,,Benedictine,Lemon Peel,,,,,,,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,3 oz ,,,,,,,1/2 oz ,1 twist of ,,,,,,,"Kentucky Colonel: A Southern-inspired cocktail that combines bourbon, mint leaves, simple syrup, and crushed ice, offering a refreshing and minty drink with a touch of sweetness, perfect for sipping on a porch."
Kill The Cold Smoothie,Http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball Glass,Ginger,,,,,,,Lemon,Water,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.,1 inch ,,,,,,,1/4 ,1 cup hot ,,,,,,,"Kill the Cold Smoothie: A fruity and vitamin-packed smoothie that combines various citrus fruits, strawberries, yogurt, and honey, creating a refreshing and immune-boosting drink that's perfect for combating a cold."
Kioki Coffee,Http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee Mug,Kahlua,,,,,,,Brandy,Coffee,,,,,,,Stir. Add whipped cream to the top.,1 oz ,,,,,,,1/2 oz ,,,,,,,,"Kioki Coffee: A cozy and indulgent coffee cocktail that combines Kahlua, brandy, and hot coffee, topped with whipped cream and grated nutmeg, offering a warm and flavorful drink with a hint of spice."
Kir,Http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,Creme De Cassis,,,,,,,Champagne,,,,,,,,"Add the crème de cassis to the bottom of the glass, then top up with wine.",1 part ,,,,,,,5 parts ,,,,,,,,"Kir: A classic French cocktail that combines dry white wine and crème de cassis, resulting in a light and elegant drink with a balance of fruity sweetness and a dry finish."
Kir Royale,Http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,Creme De Cassis,,,,,,,Champagne,,,,,,,,"Pour Creme de cassis in glass, gently pour champagne on top",1 part ,,,,,,,5 parts ,,,,,,,,"Kir Royale: A sophisticated and celebratory cocktail that combines Champagne or sparkling wine with crème de cassis, creating a bubbly and fruity drink with a touch of elegance."
Kiss Me Quick,Http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball Glass,Cranberry Vodka,,,,,,,Apfelkorn,Schweppes Russchian,Apple Juice,Ice,,,,,mix in the glass,4 cl ,,,,,,,2 cl ,7 cl ,8 cl ," cubes
",,,,,"Kiss Me Quick: A playful and flirtatious cocktail that blends peach schnapps, orange juice, and cranberry juice, offering a sweet and fruity drink with a vibrant pink hue."
Kiwi Lemon,Http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball Glass,Kiwi Liqueur,,,,,,,Bitter Lemon,Ice,,,,,,,Mix in highball glass. Stirr. Garnish with slice of kiwi.,1 part ,,,,,,,2 parts ," cubes
",,,,,,,"Kiwi Lemon: A refreshing and tangy cocktail that combines kiwi liqueur, lemon juice, and simple syrup, creating a bright and citrusy drink with a tropical twist."
Kiwi Papaya Smoothie,Http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,Kiwi,,,,,,,Papaya,,,,,,,,Throw everything into a blender and liquify.,3 ,,,,,,,1/2 ,,,,,,,,"Kiwi Papaya Smoothie: A tropical and creamy smoothie that blends kiwi, papaya, yogurt, and a touch of honey, resulting in a luscious and refreshing drink bursting with tropical flavors."
Kool First Aid,Http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot Glass,151 Proof Rum,,,,,,,Kool-aid,,,,,,,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",2 oz light ,,,,,,,1/2 tsp Tropical ,,,,,,,,"Kool First Aid: A zesty and invigorating cocktail that combines vodka, lemon juice, lime juice, and a splash of soda, offering a citrusy and effervescent drink that's like a refreshing first aid for the taste buds."
Kool-aid Shot,Http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned Glass,Vodka,,,,,,,Amaretto,Sloe Gin,Triple Sec,Cranberry Juice,,,,,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,1 shot ,,,,,,,1 shot ,1 shot ,1 shot ,,,,,,"Kool-Aid Shot: A playful and nostalgic shot made by combining your choice of flavored Kool-Aid mix with vodka or white rum, resulting in a colorful and fun shooter reminiscent of childhood summers."
Kool-aid Slammer,Http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot Glass,Kool-aid,,,,,,,Vodka,,,,,,,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",1/2 oz Grape ,,,,,,,1/2 oz ,,,,,,,,"Kool-Aid Slammer: A high-energy and fruity cocktail that blends vodka, Kool-Aid mix, and lemon-lime soda, offering a vibrant and fizzy drink with a burst of fruity flavors."
Kurant Tea,Http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne Flute,Absolut Kurant,,,,,,,Tea,Sugar,,,,,,,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",4 cl ,,,,,,,Turkish apple ," (if needed)
",,,,,,,"Kurant Tea: A soothing and aromatic cocktail that combines black tea, black currant liqueur, lemon juice, and honey, creating a comforting and slightly tart drink with a delightful tea-infused twist."
Lady Love Fizz,Http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Cocktail Glass,Gin,,,,,,,Light Cream,Powdered Sugar,Lemon,Egg White,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",2 oz ,,,,,,,2 tsp ,1 tsp ,Juice of 1/2 ,1 ,,,,,"Lady Love Fizz: A delicate and floral cocktail that combines gin, elderflower liqueur, lemon juice, simple syrup, and club soda, resulting in a light and effervescent drink with a hint of sweetness and a refreshing floral aroma."
Lassi - A South Indian Drink,Http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,Yoghurt,,,,,,,Water,Cumin Seed,Salt,Mint,,,,,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",1/2 cup plain ,,,,,,,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried ,,,,,"Lassi - A South Indian Drink: A traditional South Indian drink made with yogurt, water, sugar, and various flavorings like mango, rose, or cardamom, offering a creamy and cooling beverage with a tangy and aromatic twist."
Lassi - Mango,Http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Highball Glass,Mango,,,,,,,Yoghurt,Sugar,Water,,,,,,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,2 ,,,,,,,2 cups ,1/2 cup ,1 cup iced ,,,,,,"Lassi - Mango: A tropical and creamy lassi made with ripe mangoes, yogurt, milk, sugar, and a touch of cardamom, resulting in a smooth and fruity drink that's both refreshing and indulgent."
Lassi - Sweet,Http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Highball Glass,Yoghurt,,,,,,,Water,Sugar,Salt,Lemon Juice,,,,,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,1 cup ,,,,,,,2 cups cold ,4 tblsp ,pinch ,2 tblsp ,,,,,"Lassi - Sweet: A classic and sweet lassi made with yogurt, milk, sugar, and a pinch of cardamom, offering a creamy and smooth drink with a hint of spice and a refreshing touch."
Lassi Khara,Http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,Yoghurt,,,,,,,Water,Salt,Asafoetida,,,,,,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,1 cup ,,,,,,,2 cups cold ,1 tsp ,1 pinch ,,,,,,"Lassi Khara: A savory and spiced lassi made with yogurt, water, salt, and spices like cumin or black pepper, creating a tangy and flavorful drink often enjoyed as a cooling accompaniment to spicy meals."
Lassi Raita,Http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,Yoghurt,,,,,,,Ice,Sugar,Lime,Salt,,,,,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",2 cups ,,,,,,,4-6 ,,,,,,,,"Lassi Raita: A refreshing and tangy lassi-based raita made with yogurt, grated cucumber, mint leaves, and spices, offering a cooling and creamy condiment perfect for pairing with Indian dishes or as a standalone refreshing drink."
Lemon Drop,Http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail Glass,Absolut Vodka,,,,,,,Cointreau,Lemon,,,,,,,Shake and strain into a chilled cocktail glass rimmed with sugar.,1 1/2 shot ,,,,,,,1 1/2 shot ,Juice of 1 wedge ,,,,,,,"Lemon Drop: A tangy and citrus-forward cocktail that combines vodka, lemon juice, and simple syrup, often served in a sugar-rimmed glass, creating a zesty and refreshing drink with a sweet and sour profile."
Lemon Shot,Http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Shot Glass,Galliano,,,,,,,Absolut Citron,Lemon,Sugar,151 Proof Rum,,,,,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",1/2 oz ,,,,,,,1/2 oz ," wedge
",Bacardi ,,,,,,"Lemon Shot: A zingy and invigorating shot that combines vodka, lemon juice, and a touch of sugar, offering a tart and citrusy shooter that packs a flavorful punch."
Lemouroudji,Http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball Glass,Ginger,,,,,,,Water,Lemon,Sugar,Cayenne Pepper,,,,,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",2 pieces ,,,,,,,1 gal ,1 lb ,1 cup ,ground ,,,,,"Lemouroudji: A vibrant and fruity cocktail that blends rum, lemon juice, orange juice, and grenadine, resulting in a tropical and tangy drink with a vibrant red hue."
Limeade,Http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Highball Glass,Lime,,,,,,,Sugar,Soda Water,Lime Peel,,,,,,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.",Juice of 1 ,,,,,,,1 tblsp ," (seltzer water)
",,,,,,,"Limeade: A refreshing and tart beverage made by combining fresh lime juice, water, and sugar, offering a tangy and thirst-quenching drink with a citrusy kick."
Limona Corona,Http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Beer Glass,Corona,,,,,,,Bacardi Limon,,,,,,,,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.",1 bottle ,,,,,,,1 oz ,,,,,,,,"Limona Corona: A light and citrusy beer cocktail that involves adding fresh lime juice and a touch of salt to a cold bottle of Corona beer, creating a crisp and refreshing drink with a hint of tanginess."
Loch Lomond,Http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Cocktail Glass,Scotch,,,,,,,Drambuie,Dry Vermouth,Lemon Peel,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",2 oz ,,,,,,,1/2 oz ,1/2 oz ,1 twist of ,,,,,,"Loch Lomond: A rich and smoky cocktail that combines Scotch whisky, Drambuie, lemon juice, and a dash of bitters, offering a robust and complex drink with a balanced blend of sweetness and peaty notes."
London Town,Http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Cocktail Glass,Gin,,,,,,,Maraschino Liqueur,Orange Bitters,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1/2 oz ,2 dashes ,,,,,,,"London Town: A sophisticated and aromatic cocktail that combines gin, dry vermouth, maraschino liqueur, and orange bitters, resulting in a smooth and herbaceous drink with a touch of floral and citrus undertones."
Lone Tree Cocktail,Http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Gin,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve.",3/4 oz ,,,,,,,1 1/2 oz ,,,,,,,,"Lone Tree Cocktail: A unique and earthy cocktail that combines mezcal, Lillet Blanc, lime juice, and agave syrup, creating a smoky and slightly sweet drink with a hint of bitterness and complexity."
Lone Tree Cooler,Http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Collins Glass,Carbonated Water,,,,,,,Gin,Dry Vermouth,Powdered Sugar,Orange Spiral,Lemon Peel,,,,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",,,,,,,,,,,,,,,,"Lone Tree Cooler: A crisp and refreshing cooler that combines gin, elderflower liqueur, cucumber slices, lime juice, and soda water, offering a light and rejuvenating drink with a cool cucumber twist."
Long Island Iced Tea,Http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Highball Glass,Vodka,,,,,,,Tequila,Light Rum,Gin,Coca-cola,Lemon Peel,,,,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1 dash ,Twist of ,,,,"Long Island Iced Tea: A potent and boozy cocktail that combines vodka, rum, tequila, gin, triple sec, lemon juice, simple syrup, and a splash of cola, resulting in a strong and complex drink with a balanced mix of flavors."
Long Island Tea,Http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Highball Glass,Vodka,,,,,,,Light Rum,Gin,Tequila,Lemon,Coca-cola,,,,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,"Long Island Tea: A tropical and fruity cocktail that combines vodka, rum, tequila, gin, triple sec, lemon juice, and a splash of cola, creating a potent and refreshing drink with a harmonious blend of spirits and citrus flavors."
Long Vodka,Http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Highball Glass,Vodka,,,,,,,Lime,Angostura Bitters,Tonic Water,Ice,,,,,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka",5 cl ,,,,,,,1/2 ,4 dashes ,1 dl Schweppes ,4 ,,,,,"Long Vodka: A popular and straightforward cocktail from Russia made by combining vodka and lemonade, resulting in a simple and easy-to-drink beverage with a clean and crisp taste."
Lord And Lady,Http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Old-fashioned Glass,Dark Rum,,,,,,,Tia Maria,,,,,,,,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,1/2 oz ,,,,,,,,"Lord and Lady: A sophisticated and elegant cocktail that combines Scotch whisky, sweet vermouth, Cointreau, and orange bitters, offering a balanced and smooth drink with a rich and complex flavor profile."
Lunch Box,Http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint Glass,Beer,,,,,,,Amaretto,Orange Juice,,,,,,,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,3/4 bottle ,,,,,,,1 shot ,1 oz ,,,,,,,"Lunch Box: A playful and nostalgic cocktail that combines beer, orange juice, and a splash of amaretto liqueur, creating a refreshing and sweet drink reminiscent of a childhood lunchtime treat."
Mai Tai,Http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Collins Glass,Light Rum,,,,,,,Orgeat Syrup,Triple Sec,Sweet And Sour,Cherry,,,,,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,1 oz ,,,,,,,1/2 oz ,1/2 oz ,1 1/2 oz ,1 ,,,,,"Mai Tai: A tropical and exotic cocktail that blends rum, lime juice, orange curaçao, orgeat syrup, and a splash of grenadine, offering a fruity and refreshing drink with a hint of almond and a vibrant garnish of fresh fruit."
